"GEO_ID","NAME","B992512_001E","B992512_001EA","B992512_002E","B992512_002EA","B992512_003E","B992512_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Allocated","Annotation of Estimate!!Total:!!Allocated","Estimate!!Total:!!Not allocated","Annotation of Estimate!!Total:!!Not allocated",
"1500000US470650114473","Block Group 3, Census Tract 114.47, Hamilton County, Tennessee","520","null","0","null","520","null",
"1500000US470650114474","Block Group 4, Census Tract 114.47, Hamilton County, Tennessee","464","null","18","null","446","null",
"1500000US470650114475","Block Group 5, Census Tract 114.47, Hamilton County, Tennessee","265","null","0","null","265","null",
"1500000US470650114476","Block Group 6, Census Tract 114.47, Hamilton County, Tennessee","860","null","0","null","860","null",
"1500000US470650114481","Block Group 1, Census Tract 114.48, Hamilton County, Tennessee","1265","null","0","null","1265","null",
"1500000US470650114482","Block Group 2, Census Tract 114.48, Hamilton County, Tennessee","274","null","0","null","274","null",
"1500000US470650114483","Block Group 3, Census Tract 114.48, Hamilton County, Tennessee","517","null","0","null","517","null",
"1500000US470650114491","Block Group 1, Census Tract 114.49, Hamilton County, Tennessee","316","null","21","null","295","null",
"1500000US470650114492","Block Group 2, Census Tract 114.49, Hamilton County, Tennessee","767","null","0","null","767","null",
"1500000US470650116001","Block Group 1, Census Tract 116, Hamilton County, Tennessee","460","null","0","null","460","null",
"1500000US470650116002","Block Group 2, Census Tract 116, Hamilton County, Tennessee","569","null","0","null","569","null",
"1500000US470650116003","Block Group 3, Census Tract 116, Hamilton County, Tennessee","396","null","0","null","396","null",
"1500000US470650116004","Block Group 4, Census Tract 116, Hamilton County, Tennessee","205","null","0","null","205","null",
"1500000US470650116005","Block Group 5, Census Tract 116, Hamilton County, Tennessee","197","null","0","null","197","null",
"1500000US470650116006","Block Group 6, Census Tract 116, Hamilton County, Tennessee","794","null","0","null","794","null",
"1500000US470650117001","Block Group 1, Census Tract 117, Hamilton County, Tennessee","344","null","11","null","333","null",
"1500000US470650117002","Block Group 2, Census Tract 117, Hamilton County, Tennessee","449","null","0","null","449","null",
"1500000US470650117003","Block Group 3, Census Tract 117, Hamilton County, Tennessee","648","null","6","null","642","null",
"1500000US470650117004","Block Group 4, Census Tract 117, Hamilton County, Tennessee","437","null","0","null","437","null",
"1500000US470650118001","Block Group 1, Census Tract 118, Hamilton County, Tennessee","538","null","17","null","521","null",
"1500000US470650118002","Block Group 2, Census Tract 118, Hamilton County, Tennessee","348","null","0","null","348","null",
"1500000US470650118003","Block Group 3, Census Tract 118, Hamilton County, Tennessee","330","null","0","null","330","null",
"1500000US470650118004","Block Group 4, Census Tract 118, Hamilton County, Tennessee","650","null","0","null","650","null",
